NACE_1_1_CODE,en_Description,NACE_2007_CODE,NACE_2007_DESCRPTION,Comments
22.11,Publishing of books,58.12,Publishing of directories and mailing lists,"- Publishing of telephone books and other directory books
- Publishing of mailing lists
- Catalogue and yearbook publishing"
22.12,Publishing of newspapers,58.13,Publishing of newspapers,All
22.13,Publishing of journals and periodicals,58.14,Publishing of journals and periodicals,All
22.14,Publishing of sound recordings,59.2,Sound recording and music publishing activities,All
22.15,Other publishing,58.19,Other publishing activities,All
22.21,Printing of newspapers,18.11,Printing of newspapers,=
22.22,Printing n.e.c.,17.23,Manufacture of paper stationery,"Manufacture of educational and commercial stationery (notebooks, binders, registers, accounting books, business forms etc.), when the printed information is not the main characteristic"
22.22,Printing n.e.c.,18.12,Other printing,Printing services (except for newspapers)
22.22,Printing n.e.c.,58.19,Other publishing activities,"Stamps, cheque forms, banknotes, trade advertising material, commercial catalogues and other printed matter n.e.c."
22.23,Bookbinding ,18.14,Binding and related services,=
22.24,Pre-press activities,18.13,Pre-press and pre-media services,Aggregation of NACE Rev. 1.1 classes 22.24 and 22.25
22.25,Ancillary activities related to printing,18.13,Pre-press and pre-media services,Aggregation of NACE Rev. 1.1 classes 22.24 and 22.25
22.31,Reproduction of sound recording,18.2,Reproduction of recorded media,"Aggregation of NACE Rev. 1.1 classes 22.31, 22.32 and 22.33"
22.32,Reproduction of video recording,18.2,Reproduction of recorded media,"Aggregation of NACE Rev. 1.1 classes 22.31, 22.32 and 22.33"
22.33,Reproduction of computer media,18.2,Reproduction of recorded media,"Aggregation of NACE Rev. 1.1 classes 22.31, 22.32 and 22.33"
23.1,Manufacture of coke oven products,19.1,Manufacture of coke oven products,All
23.2,Manufacture of refined petroleum products,19.2,Manufacture of refined petroleum products,All
23.3,Processing of nuclear fuel,20.13,Manufacture of other inorganic basic chemicals,Enrichment of uranium
23.3,Processing of nuclear fuel,21.2,Manufacture of pharmaceutical preparations,Radioactive in-vivo diagnostic substances
23.3,Processing of nuclear fuel,24.46,Processing of nuclear fuel ,Except enrichment of uranium.
23.3,Processing of nuclear fuel,38.12,Collection of hazardous waste,Collection and treatment of radioactive nuclear waste
23.3,Processing of nuclear fuel,38.22,Treatment and disposal of hazardous waste,"Treatment, disposal and storage of radioactive nuclear waste including: 
- treatment and disposal of transition radioactive waste, i.e. decaying within the period of transport, from hospitals
- encapsulation, preparation and other treatment of nuclear was"
24.11,Manufacture of industrial gases,20.11,Manufacture of industrial gases,=
24.12,Manufacture of dyes and pigments,20.12,Manufacture of dyes and pigments,=
24.13,Manufacture of other inorganic basic chemicals,20.13,Manufacture of other inorganic basic chemicals,All
24.14,Manufacture of other organic basic chemicals,19.1,Manufacture of coke oven products,Production of pitch and pitch coke
24.14,Manufacture of other organic basic chemicals,20.14,Manufacture of other organic basic chemicals,Except production of pitch and pitch coke
24.15,Manufacture of fertilizers and nitrogen compounds,20.15,Manufacture of fertilisers and nitrogen compounds,Except production of compost from organic waste
24.15,Manufacture of fertilizers and nitrogen compounds,38.21,Treatment and disposal of non-hazardous waste,Production of compost from organic waste
24.16,Manufacture of plastics in primary forms,20.16,Manufacture of plastics in primary forms,=
24.17,Manufacture of synthetic rubber in primary forms,20.17,Manufacture of synthetic rubber in primary forms,=
24.2,Manufacture of pesticides and other agro-chemical products,20.2,Manufacture of pesticides and other agrochemical products,=
24.3,"Manufacture of paints, varnishes and similar coatings, printing ink and mastics",20.3,"Manufacture of paints, varnishes and similar coatings, printing ink and mastics",=
24.41,Manufacture of basic pharmaceutical products,21.1,Manufacture of basic pharmaceutical products,=
24.42,Manufacture of pharmaceutical preparations,21.2,Manufacture of pharmaceutical preparations,"Except bone reconstruction cements, dental fillings and dental cement"
24.42,Manufacture of pharmaceutical preparations,32.5,Manufacture of medical and dental instruments and supplies,"Bone reconstruction cements, dental fillings and dental cement"
24.51,"Manufacture of soap and detergents, cleaning and polishing preparations",20.41,"Manufacture of soap and detergents, cleaning and polishing preparations",Except manufacture of cosmetic soap
24.51,"Manufacture of soap and detergents, cleaning and polishing preparations",20.42,Manufacture of perfumes and toilet preparations,Manufacture of cosmetic soap
24.52,Manufacture of perfumes and toilet preparations,20.42,Manufacture of perfumes and toilet preparations,All
24.61,Manufacture of explosives,20.51,Manufacture of explosives,All
24.62,Manufacture of glues and gelatines,20.52,Manufacture of glues,"Manufacture of glues and prepared adhesives, including rubber-based glues and adhesives"
24.62,Manufacture of glues and gelatines,20.59,Manufacture of other chemical products n.e.c.,Manufacture of gelatine and its derivatives
24.63,Manufacture of essential oils,20.53,Manufacture of essential oils,=
24.64,Manufacture of photographic chemical material,20.59,Manufacture of other chemical products n.e.c.,All
24.65,Manufacture of prepared unrecorded media,26.8,Manufacture of magnetic and optical media,=
24.66,Manufacture of other chemical products n.e.c.,20.59,Manufacture of other chemical products n.e.c.,"Except semi-finished dice or wafers, semi-conductor"
24.66,Manufacture of other chemical products n.e.c.,26.11,Manufacture of electronic components,"Semi-finished dice or wafers, semi-conductor"
24.7,Manufacture of man-made fibres,20.6,Manufacture of man-made fibres,=
25.11,Manufacture of rubber tyres and tubes,22.11,Manufacture of rubber tyres and tubes; retreading and rebuilding of rubber tyres,Aggregation of NACE Rev. 1.1 classes 25.11 and 25.12
25.12,Retreading and rebuilding of rubber tyres,22.11,Manufacture of rubber tyres and tubes; retreading and rebuilding of rubber tyres,Aggregation of NACE Rev. 1.1 classes 25.11 and 25.12
25.13,Manufacture of other rubber products,22.19,Manufacture of other rubber products,"Except:
- manufacture of rubber gloves (medical)
- manufacture of life vests
- repair and maintenance of other rubber products (excl. tyres)"
25.13,Manufacture of other rubber products,32.5,Manufacture of medical and dental instruments and supplies,Manufacture of rubber gloves (medical)
25.13,Manufacture of other rubber products,32.99,Other manufacturing n.e.c. ,Manufacture of life vests
25.13,Manufacture of other rubber products,33.19,Repair of other equipment,Repair and maintenance of other rubber products (excl. tyres)
25.21,"Manufacture of plastic plates, sheets, tubes and profiles",22.21,"Manufacture of plastic plates, sheets, tubes and profiles","Except repair, maintenance and installation"
25.21,"Manufacture of plastic plates, sheets, tubes and profiles",33.19,Repair of other equipment,"Repair and maintenance services of tubes, pipes and hoses, of plastics, and of systems of plastic pipes in industrial plants"
25.21,"Manufacture of plastic plates, sheets, tubes and profiles",33.2,Installation of industrial machinery and equipment,"Installation of tubes, pipes and hoses, of plastics, including installation of pipe systems in industrial plants"
25.22,Manufacture of plastic packing goods,22.22,Manufacture of plastic packing goods,=
25.23,Manufacture of builders' ware of plastic,22.23,Manufacture of builders’ ware of plastic,"Except:
- assembly and installation of self-manufactured buildings of plastic on site
- installation (erection) work of self-manufactured builders’ ware of plastic
- plastic electrical conduit tubing"
25.23,Manufacture of builders' ware of plastic,27.33,Manufacture of wiring devices,Plastic electrical conduit tubing
25.23,Manufacture of builders' ware of plastic,41.2,Construction of residential and non-residential buildings,Assembly and installation of self-manufactured buildings of plastic on site
25.23,Manufacture of builders' ware of plastic,43.32,Joinery installation,Installation (erection) work of self-manufactured builders’ ware of plastic
25.24,Manufacture of other plastic products,22.29,Manufacture of other plastic products,"Except:
- technical laminates 
- plastic noncurrent carrying wiring devices including plastic electrical conduit and fittings, plastic junction boxes, face plates, and similar, plastic pole line fittings
- plastic hard hats and other plastic safety equipm"
25.24,Manufacture of other plastic products,27.33,Manufacture of wiring devices,"Plastic noncurrent carrying wiring devices including plastic electrical conduit and fittings, plastic junction boxes, face plates, and similar, plastic pole line fittings"
25.24,Manufacture of other plastic products,32.99,Other manufacturing n.e.c. ,Plastics hard hats and other personal safety equipment of plastics
25.24,Manufacture of other plastic products,33.19,Repair of other equipment,Repair of plexiglas plane windows
26.11,Manufacture of flat glass,23.11,Manufacture of flat glass,=
26.12,Shaping and processing of flat glass,23.12,Shaping and processing of flat glass,=
26.13,Manufacture of hollow glass,23.13,Manufacture of hollow glass,=
26.14,Manufacture of glass fibres,23.14,Manufacture of glass fibres,=
26.15,"Manufacture and processing of other glass, including technical glassware",23.19,"Manufacture and processing of other glass, including technical glassware","Except repair, maintenance and installation"
26.15,"Manufacture and processing of other glass, including technical glassware",33.19,Repair of other equipment,"Repair and maintenance of tubes and pipes, of glass, and of systems of glass pipes in industrial plants"
26.15,"Manufacture and processing of other glass, including technical glassware",33.2,Installation of industrial machinery and equipment,"Installation of tubes and pipes, of glass, including installation for glass pipe"
26.21,Manufacture of ceramic household and ornamental articles,23.41,Manufacture of ceramic household and ornamental articles,=
26.22,Manufacture of ceramic sanitary fixtures,23.42,Manufacture of ceramic sanitary fixtures,=
26.23,Manufacture of ceramic insulators and insulating fittings,23.43,Manufacture of ceramic insulators and insulating fittings,=
26.24,Manufacture of other technical ceramic products,23.44,Manufacture of other technical ceramic products,All
26.25,Manufacture of other ceramic products,23.49,Manufacture of other ceramic products,=
26.26,Manufacture of refractory ceramic products,23.2,Manufacture of refractory products,=
26.3,Manufacture of ceramic tiles and flags,23.31,Manufacture of ceramic tiles and flags,=
26.4,"Manufacture of bricks, tiles and construction products, in baked clay",23.32,"Manufacture of bricks, tiles and construction products, in baked clay","Except repair, maintenance and installation"
26.4,"Manufacture of bricks, tiles and construction products, in baked clay",33.19,Repair of other equipment,"Repair and maintenance of ceramic pipes, conduit, guttering and pipe fittings, and of systems of ceramic pipes in industrial plants"
26.4,"Manufacture of bricks, tiles and construction products, in baked clay",33.2,Installation of industrial machinery and equipment,"Installation of ceramic pipes, conduit, guttering and pipe fittings, including installation for pipe systems in industrial plants"
26.51,Manufacture of cement,23.51,Manufacture of cement,=
26.52,Manufacture of lime,23.52,Manufacture of lime and plaster,Aggregation of NACE Rev. 1.1 classes 26.52 and 26.53
26.53,Manufacture of plaster,23.52,Manufacture of lime and plaster,Aggregation of NACE Rev. 1.1 classes 26.52 and 26.53
26.61,Manufacture of concrete products for construction purposes,23.61,Manufacture of concrete products for construction purposes,=
26.62,Manufacture of plaster products for construction purposes,23.62,Manufacture of plaster products for construction purposes,=
26.63,Manufacture of ready-mixed concrete,23.63,Manufacture of ready-mixed concrete,=
26.64,Manufacture of mortars,23.64,Manufacture of mortars,=
26.65,Manufacture of fibre cement,23.65,Manufacture of fibre cement,=
26.66,"Manufacture of other articles of concrete, plaster and cement",23.69,"Manufacture of other articles of concrete, plaster and cement",=
26.7,"Cutting, shaping and finishing of ornamental and building stone",23.7,"Cutting, shaping and finishing of stone",=
26.81,Production of abrasive products,23.91,Production of abrasive products,"Except repair, maintenance and installation"
26.81,Production of abrasive products,33.19,Repair of other equipment,"Repair and maintenance of millstones, grindstones, polishing stones and the like"
26.81,Production of abrasive products,33.2,Installation of industrial machinery and equipment,"Installation of millstones, grindstones, polishing stones and the like"
26.82,Manufacture of other non-metallic mineral products n.e.c.,23.99,Manufacture of other non-metallic mineral products n.e.c.,=
27.1,Manufacture of basic iron and steel and of ferro-alloys ,24.1,Manufacture of basic iron and steel and of ferro-alloys ,=
27.21,Manufacture of cast iron tubes,24.51,Casting of iron,Aggregation of NACE Rev. 1.1 classes 27.21 and 27.51
27.22,Manufacture of steel tubes,24.2,"Manufacture of tubes, pipes, hollow profiles and related fittings, of steel",=
27.31,Cold drawing,24.31,Cold drawing of bars,=
27.32,Cold rolling of narrow strip,24.32,Cold rolling of narrow strip,=
27.33,Cold forming or folding,24.33,Cold forming or folding,All
27.34,Wire drawing,24.34,Cold drawing of wire,=
27.41,Precious metals production,24.41,Precious metals production,=
27.42,Aluminium production,24.42,Aluminium production,=
27.43,"Lead, zinc and tin production",24.43,"Lead, zinc and tin production","Except:
- lead bars, rods, profiles and wire
- lead tubes, pipes and tube or pipe fittings
- zinc tubes, pipes and tube or pipe fittings
- tin plates, sheets, strip and foil; tin powders and flakes
- tin tubes, pipes and tube or pipe fittings"
27.43,"Lead, zinc and tin production",25.99,Manufacture of other fabricated metal products n.e.c.,"- Lead bars, rods, profiles and wire
- Lead tubes, pipes and tube or pipe fittings
- Zinc tubes, pipes and tube or pipe fittings
- Tin plates, sheets, strip and foil; tin powders and flakes
- Tin tubes, pipes and tube or pipe fittings"
27.44,Copper production,24.44,Copper production,=
27.45,Other non-ferrous metal production,24.45,Other non-ferrous metal production,=
27.51,Casting of iron,24.51,Casting of iron,Aggregation of NACE Rev. 1.1 classes 27.21 and 27.51
27.52,Casting of steel,24.52,Casting of steel,=
27.53,Casting of light metals,24.53,Casting of light metals,=
27.54,Casting of other non-ferrous metals,24.54,Casting of other non-ferrous metals,=
28,"Manufacture of fabricated metal products, except machinery and equipment",33.2,Installation of industrial machinery and equipment,Various manufacturing/installation activities
28.11,Manufacture of metal structures and parts of structures,24.33,Cold forming or folding,Sandwich panels of coated steel sheet
28.11,Manufacture of metal structures and parts of structures,25.11,Manufacture of metal structures and parts of structures,"Except:
- repair
- sandwich panels of coated steel sheet
- assembly and installation of self-manufactured buildings of metal on site"
28.11,Manufacture of metal structures and parts of structures,33.11,Repair of fabricated metal products,Repair of metal structures
28.11,Manufacture of metal structures and parts of structures,41.2,Construction of residential and non-residential buildings,Assembly and installation of self-manufactured buildings of metal on site
28.12,Manufacture of builders' carpentry and joinery of metal,25.12,Manufacture of doors and windows of metal,Except installation (erection) work of self-manufactured builders‘ carpentry and joinery of metal
28.12,Manufacture of builders' carpentry and joinery of metal,43.32,Joinery installation,Installation (erection) work of self-manufactured builders’ ware of metal
28.21,"Manufacture of tanks, reservoirs and containers of metal",25.29,"Manufacture of other tanks, reservoirs and containers of metal",Except repair of metal tanks
28.21,"Manufacture of tanks, reservoirs and containers of metal",33.11,Repair of fabricated metal products,Repair of metal tanks
28.22,Manufacture of central heating radiators and boilers,25.21,Manufacture of central heating radiators and boilers,Except repair of central heating boilers and radiators
28.22,Manufacture of central heating radiators and boilers,33.11,Repair of fabricated metal products,Repair of central heating boilers and radiators
28.3,"Manufacture of steam generators, except central heating hot water boilers",25.3,"Manufacture of steam generators, except central heating hot water boilers",Except repair and maintenance of steam or other vapour generators
28.3,"Manufacture of steam generators, except central heating hot water boilers",33.11,Repair of fabricated metal products,Repair and maintenance of steam or other vapour generators
28.4,"Forging, pressing, stamping and roll forming of metal; powder metallurgy",25.5,"Forging, pressing, stamping and roll-forming of metal; powder metallurgy",=
28.51,Treatment and coating of metals,25.61,Treatment and coating of metals,=
28.52,General mechanical engineering,25.62,Machining,Except general mechanical repair and maintenance of machinery
28.52,General mechanical engineering,33.12,Repair of machinery,General mechanical repair and maintenance of machinery
28.61,Manufacture of cutlery,25.71,Manufacture of cutlery,Except repair
28.61,Manufacture of cutlery,33.11,Repair of fabricated metal products,Repair
28.62,Manufacture of tools,25.73,Manufacture of tools,"Except: 
- construction and surface mining drill bits
- underground mining drill bits
- cutting dies, made in die shops
- metal working bits and similar cutting tool attachments and accessories including collars, collets, clamps, chucks, etc.;"
28.62,Manufacture of tools,28.41,Manufacture of metal forming machinery,"Metal working bits and similar cutting tool attachments and accessories including collars, collets, clamps, chucks, etc."
28.62,Manufacture of tools,28.49,Manufacture of other machine tools,"- Cutting dies, made in die shops
- Metal working bits and similar cutting tool attachments and accessories including collars, collets, clamps, chucks, etc."
28.62,Manufacture of tools,28.92,"Manufacture of machinery for mining, quarrying and construction","- Construction and surface mining drill bits
- Underground mining drill bits"
28.62,Manufacture of tools,33.11,Repair of fabricated metal products,Repair
28.63,Manufacture of locks and hinges,25.72,Manufacture of locks and hinges,"Except repair and except manufacture of hat-racks, hat-pegs, brackets and similar fixtures of base metal"
28.63,Manufacture of locks and hinges,33.11,Repair of fabricated metal products,Repair
28.71,Manufacture of steel drums and similar containers,25.91,Manufacture of steel drums and similar containers,Except repair of steel drums and similar
28.71,Manufacture of steel drums and similar containers,33.11,Repair of fabricated metal products,Repair
28.72,Manufacture of light metal packaging,25.92,Manufacture of light metal packaging ,=
28.73,Manufacture of wire products,25.93,"Manufacture of wire products, chain and springs",All
28.74,"Manufacture of fasteners, screw machine products, chain and springs",25.93,"Manufacture of wire products, chain and springs",Manufacture of chains and springs
28.74,"Manufacture of fasteners, screw machine products, chain and springs",25.94,Manufacture of fasteners and screw machine products,Except manufacture of chains and springs
28.75,Manufacture of other fabricated metal products n.e.c.,25.71,Manufacture of cutlery,"Manufacture of cutlasses, swords, bayonets etc."
28.75,Manufacture of other fabricated metal products n.e.c.,25.72,Manufacture of locks and hinges,"Manufacture of hat-racks, hat-pegs, brackets and similar fixtures of base metal"
28.75,Manufacture of other fabricated metal products n.e.c.,25.99,Manufacture of other fabricated metal products n.e.c.,"Except:
- manufacture of cutlasses, swords, bayonets etc.
- manufacture of hat-racks, hat-pegs, brackets and similar fixtures of base metal
- metal safety headgear and other metal personal safety devices
- repair of fabricated metal products"
28.75,Manufacture of other fabricated metal products n.e.c.,32.99,Other manufacturing n.e.c. ,Metal safety headgear and other metal personal safety devices
28.75,Manufacture of other fabricated metal products n.e.c.,33.11,Repair of fabricated metal products,Repair
29,Manufacture of machinery and equipment n.e.c.,33.2,Installation of industrial machinery and equipment,Various manufacturing/installation activities
29.11,"Manufacture of engines and turbines, except aircraft, vehicle and cycle engines",28.11,"Manufacture of engines and turbines, except aircraft, vehicle and cycle engines",Except repair
29.11,"Manufacture of engines and turbines, except aircraft, vehicle and cycle engines",33.12,Repair of machinery,Repair
29.12,Manufacture of pumps and compressors,28.11,"Manufacture of engines and turbines, except aircraft, vehicle and cycle engines","- Manufacture of wind turbines
- Except repair"
29.12,Manufacture of pumps and compressors,28.12,Manufacture of fluid power equipment,"- Hydraulic equipment
- Except repair"
29.12,Manufacture of pumps and compressors,28.13,Manufacture of other pumps and compressors,Non-hydraulic equipment; except repair
29.12,Manufacture of pumps and compressors,33.12,Repair of machinery,Repair
29.13,Manufacture of taps and valves,28.12,Manufacture of fluid power equipment,Manufacture of hydraulic and pneumatic valves
29.13,Manufacture of taps and valves,28.14,Manufacture of other taps and valves,"- Except manufacture of hydraulic and pneumatic valves
- Except repair and maintenance services of taps, cocks, valves and similar appliances for pipes, boiler shells, tanks, vats or the like of metal"
29.13,Manufacture of taps and valves,33.12,Repair of machinery,"Repair and maintenance services of taps, cocks, valves and similar appliances for pipes, boiler shells, tanks, vats or the like of metal"
29.14,"Manufacture of bearings, gears, gearing and driving elements",28.15,"Manufacture of bearings, gears, gearing and driving elements",Except repair
29.14,"Manufacture of bearings, gears, gearing and driving elements",33.12,Repair of machinery,Repair
29.21,Manufacture of furnaces and furnace burners,28.21,"Manufacture of ovens, furnaces and furnace burners",Except repair
29.21,Manufacture of furnaces and furnace burners,33.12,Repair of machinery,Repair
29.22,Manufacture of lifting and handling equipment,28.22,Manufacture of lifting and handling equipment,"Except:
- repair and maintenance of handling equipment
- repair and maintenance of elevators and escalators
- installation of materials handling equipment in buildings"
29.22,Manufacture of lifting and handling equipment,33.12,Repair of machinery,Repair and maintenance of handling equipment
29.22,Manufacture of lifting and handling equipment,43.29,Other construction installation,Repair and maintenance of elevators and escalators
29.23,Manufacture of non-domestic cooling and ventilation equipment,28.25,Manufacture of non-domestic cooling and ventilation equipment,Except repair
29.23,Manufacture of non-domestic cooling and ventilation equipment,33.12,Repair of machinery,Repair
29.24,Manufacture of other general purpose machinery n.e.c.,28.29,Manufacture of other general-purpose machinery n.e.c.,"Except:
- laboratory type distilling apparatus, laboratory centrifuges, laboratory ultrasonic cleaning machinery
- repair other than repair of laboratory type distilling apparatus, laboratory centrifuges, laboratory ultrasonic cleaning machinery
- repair "
29.24,Manufacture of other general purpose machinery n.e.c.,32.5,Manufacture of medical and dental instruments and supplies,"Laboratory type distilling apparatus, laboratory centrifuges, laboratory ultrasonic cleaning machinery"
29.24,Manufacture of other general purpose machinery n.e.c.,33.12,Repair of machinery,"Repair other than repair of laboratory type distilling apparatus, laboratory centrifuges, laboratory ultrasonic cleaning machinery"
29.24,Manufacture of other general purpose machinery n.e.c.,33.13,Repair of electronic and optical equipment,"Repair of laboratory type distilling apparatus, laboratory centrifuges, laboratory ultrasonic cleaning machinery"
29.31,Manufacture of agricultural tractors,28.3,Manufacture of agricultural and forestry machinery,Except repair and maintenance services of agricultural tractors
29.31,Manufacture of agricultural tractors,33.12,Repair of machinery,Repair
29.32,Manufacture of other agricultural and forestry machinery,28.3,Manufacture of agricultural and forestry machinery,Except repair
29.32,Manufacture of other agricultural and forestry machinery,33.12,Repair of machinery,Repair (except repair of lawnmowers)
29.32,Manufacture of other agricultural and forestry machinery,95.22,Repair of household appliances and home and garden equipment,Repair of lawnmowers
29.41,Manufacture of portable hand held power tools,28.24,Manufacture of power-driven hand tools,Except repair
29.41,Manufacture of portable hand held power tools,33.12,Repair of machinery,Repair
29.42,Manufacture of other metalworking machine tools,28.41,Manufacture of metal forming machinery,Except repair
29.42,Manufacture of other metalworking machine tools,33.12,Repair of machinery,Repair
29.43,Manufacture of other machine tools n.e.c.,27.9,Manufacture of other electrical equipment,Electric handheld soldering irons and soldering guns
29.43,Manufacture of other machine tools n.e.c.,28.29,Manufacture of other general-purpose machinery n.e.c.,Manufacture of non-electrical welding and soldering equipment
29.43,Manufacture of other machine tools n.e.c.,28.49,Manufacture of other machine tools,Except repair; except electric hand held soldering irons and soldering guns and non-electrical welding and soldering equipment
29.43,Manufacture of other machine tools n.e.c.,33.12,Repair of machinery,Repair
29.51,Manufacture of machinery for metallurgy,28.91,Manufacture of machinery for metallurgy,Except repair
29.51,Manufacture of machinery for metallurgy,33.12,Repair of machinery,Repair
29.52,"Manufacture of machinery for mining, quarrying and construction",28.92,"Manufacture of machinery for mining, quarrying and construction","Except repair and manufacture of machinery for producing tiles, bricks, shaped ceramic pastes, pipes, graphite electrodes, blackboard chalk etc."
29.52,"Manufacture of machinery for mining, quarrying and construction",28.99,Manufacture of other special-purpose machinery n.e.c.,"Manufacture of machinery for producing tiles, bricks, shaped ceramic pastes, pipes, graphite electrodes, blackboard chalk etc."
29.52,"Manufacture of machinery for mining, quarrying and construction",33.12,Repair of machinery,Repair
29.53,"Manufacture of machinery for food, beverage and tobacco processing",28.3,Manufacture of agricultural and forestry machinery,"Parts of milking machines and dairy machinery, n.e.c."
29.53,"Manufacture of machinery for food, beverage and tobacco processing",28.93,"Manufacture of machinery for food, beverage and tobacco processing","Except repair; parts of milking machines and dairy machinery, n.e.c."
29.53,"Manufacture of machinery for food, beverage and tobacco processing",33.12,Repair of machinery,Repair
29.54,"Manufacture of machinery for textile, apparel and leather production",28.94,"Manufacture of machinery for textile, apparel and leather production",Except repair
29.54,"Manufacture of machinery for textile, apparel and leather production",33.12,Repair of machinery,Repair
29.55,Manufacture of machinery for paper and paperboard production,28.95,Manufacture of machinery for paper and paperboard production,Except repair
29.55,Manufacture of machinery for paper and paperboard production,33.12,Repair of machinery,Repair
29.56,Manufacture of other special purpose machinery n.e.c.,25.73,Manufacture of tools,Manufacture of moulding boxes and moulds (except ingot moulds)
29.56,Manufacture of other special purpose machinery n.e.c.,28.94,"Manufacture of machinery for textile, apparel and leather production","- Manufacture of textile printing machinery
- Manufacture of non-domestic spin dryers"
29.56,Manufacture of other special purpose machinery n.e.c.,28.96,Manufacture of plastics and rubber machinery,Machinery for working soft rubber or plastics
29.56,Manufacture of other special purpose machinery n.e.c.,28.99,Manufacture of other special-purpose machinery n.e.c.,Except repair
29.56,Manufacture of other special purpose machinery n.e.c.,33.12,Repair of machinery,Repair
29.6,Manufacture of weapons and ammunition,25.4,Manufacture of weapons and ammunition,Except repair and maintenance; tanks and fighting vehicles; manufacture of intercontinental ballistic missiles (ICBM)
29.6,Manufacture of weapons and ammunition,30.3,Manufacture of air and spacecraft and related machinery,Manufacture of intercontinental ballistic missiles (ICBM)
29.6,Manufacture of weapons and ammunition,30.4,Manufacture of military fighting vehicles,"Tanks, armoured amphibious military vehicles and other military fighting vehicles"
29.6,Manufacture of weapons and ammunition,33.11,Repair of fabricated metal products,Repair and maintenance of weapons and weapons systems
29.71,Manufacture of electric domestic appliances,27.51,Manufacture of electric domestic appliances,"Except:
- manufacture of permanent mount electric space heaters, electric swimming pool heaters
- attic ventilation fans
- repair and maintenance of professional electric appliances"
29.71,Manufacture of electric domestic appliances,28.21,"Manufacture of ovens, furnaces and furnace burners","Manufacture of permanent mount electric space heaters, electric swimming pool heaters"
29.71,Manufacture of electric domestic appliances,28.25,Manufacture of non-domestic cooling and ventilation equipment,Attic ventilation fans
29.71,Manufacture of electric domestic appliances,33.14,Repair of electrical equipment,Repair and maintenance of professional electric appliances
29.72,Manufacture of non-electric domestic appliances,27.52,Manufacture of non-electric domestic appliances,"Except manufacture of non-electric household heating equipment, such as solar heating, steam heating, oil heat and similar furnaces and heating equipment"
29.72,Manufacture of non-electric domestic appliances,28.21,"Manufacture of ovens, furnaces and furnace burners","Manufacture of non-electric household heating equipment, such as solar heating, steam heating, oil heat and similar furnaces and heating equipment"
30,Manufacture of office machinery and computers,33.2,Installation of industrial machinery and equipment,Various manufacturing/installation activities
30.01,Manufacture of office machinery,28.23,Manufacture of office machinery and equipment (except computers and peripheral equipment),All
30.02,Manufacture of computers and other information processing equipment,26.2,Manufacture of computers and peripheral equipment,Except installation
30.02,Manufacture of computers and other information processing equipment,62.09,Other information technology and computer service activities,Installation of personal computers and peripheral equipment
31,Manufacture of electrical machinery and apparatus n.e.c.,33.2,Installation of industrial machinery and equipment,Various manufacturing/installation activities
31.1,"Manufacture of electric motors, generators and transformers",26.11,Manufacture of electronic components,"Electronic transformers (solid state), coils, chokes, and other inductors"
31.1,"Manufacture of electric motors, generators and transformers",27.11,"Manufacture of electric motors, generators and transformers","Except:
- electronic transformers (solid state), coils, chokes, and other inductors
- solid state inverters, rectifying apparatus, fuel cells, regulated and unregulated power supplies, uninterruptible power supplies
- repair of electronic transformers (so"
31.1,"Manufacture of electric motors, generators and transformers",33.13,Repair of electronic and optical equipment,"Repair of electronic transformers (solid state), coils, chokes, and other inductors"
31.1,"Manufacture of electric motors, generators and transformers",33.14,Repair of electrical equipment,Repair and maintenance of electrical motors
31.2,Manufacture of electricity distribution and control apparatus,26.11,Manufacture of electronic components,"Electronic connectors such as cylindrical, rack and panel, printed circuit, etc.; electronic switches, such as snap, toggle, rocker, etc., for use in electronic apparatus"
31.2,Manufacture of electricity distribution and control apparatus,27.12,Manufacture of electricity distribution and control apparatus,Includes rewinding of armatures on a factory basis
31.2,Manufacture of electricity distribution and control apparatus,27.33,Manufacture of wiring devices,"Plugs and sockets for a voltage <= 1.000 V (excl. lamp holders); electrical apparatus for switching electrical circuits, or for making connections to or in electrical circuits, for a voltage <= 1.000 V (excl. fuses, automatic circuit breakers and other ap"
31.2,Manufacture of electricity distribution and control apparatus,27.9,Manufacture of other electrical equipment,Manufacture of surge suppressors
31.2,Manufacture of electricity distribution and control apparatus,33.14,Repair of electrical equipment,Repair and maintenance of distribution and control apparatus for electricity
31.3,Manufacture of insulated wire and cable,26.11,Manufacture of electronic components,"Harness assemblies (insulated wire and connectors) for electronic use, including printer cables, monitor cables, and similar"
31.3,Manufacture of insulated wire and cable,27.31,Manufacture of fibre optic cables,New breakdown of NACE Rev. 1.1 class 31.30
31.3,Manufacture of insulated wire and cable,27.32,Manufacture of other electronic and electric wires and cables,New breakdown of NACE Rev. 1.1 class 31.30
31.3,Manufacture of insulated wire and cable,27.9,Manufacture of other electrical equipment,"Manufacture of appliance cords, extension cords and other electrical cord sets with insulated wire and connectors"
31.4,"Manufacture of accumulators, primary cells and primary batteries",27.2,Manufacture of batteries and accumulators,=
31.5,Manufacture of lighting equipment and electric lamps,27.4,Manufacture of electric lighting equipment,All
31.61,Manufacture of electrical equipment for engines and vehicles n.e.c.,27.4,Manufacture of electric lighting equipment,Manufacture of lighting equipment for motor vehicles
