"Code","Ebene","Titel","Parent"
"22.29",4,"Herstellung von sonstigen Kunststoffwaren","22.2"
"22.29.0",5,"Herstellung von sonstigen Kunststoffwaren","22.29"
23,2,"Herstellung von Glas und Glaswaren, Keramik, Verarbeitung von Steinen und Erden","C"
"23.1",3,"Herstellung von Glas und Glaswaren",23
"23.11",4,"Herstellung von Flachglas","23.1"
"23.11.0",5,"Herstellung von Flachglas","23.11"
"23.12",4,"Veredlung und Bearbeitung von Flachglas","23.1"
"23.12.0",5,"Veredlung und Bearbeitung von Flachglas","23.12"
"23.13",4,"Herstellung von Hohlglas","23.1"
"23.13.0",5,"Herstellung von Hohlglas","23.13"
"23.14",4,"Herstellung von Glasfasern und Waren daraus","23.1"
"23.14.0",5,"Herstellung von Glasfasern und Waren daraus","23.14"
"23.19",4,"Herstellung, Veredlung und Bearbeitung von sonstigem Glas einschließlich technischen Glaswaren","23.1"
"23.19.0",5,"Herstellung, Veredlung und Bearbeitung von sonstigem Glas einschließlich technischen Glaswaren","23.19"
"23.2",3,"Herstellung von feuerfesten keramischen Werkstoffen und Waren",23
"23.20",4,"Herstellung von feuerfesten keramischen Werkstoffen und Waren","23.2"
"23.20.0",5,"Herstellung von feuerfesten keramischen Werkstoffen und Waren","23.20"
"23.3",3,"Herstellung von keramischen Baumaterialien",23
"23.31",4,"Herstellung von keramischen Wand- und Bodenfliesen und -platten","23.3"
"23.31.0",5,"Herstellung von keramischen Wand- und Bodenfliesen und -platten","23.31"
"23.32",4,"Herstellung von Ziegeln und sonstiger Baukeramik","23.3"
"23.32.0",5,"Herstellung von Ziegeln und sonstiger Baukeramik","23.32"
"23.4",3,"Herstellung von sonstigen Porzellan- und keramischen Erzeugnissen",23
"23.41",4,"Herstellung von keramischen Haushaltswaren und Ziergegenständen","23.4"
"23.41.0",5,"Herstellung von keramischen Haushaltswaren und Ziergegenständen","23.41"
"23.42",4,"Herstellung von Sanitärkeramik","23.4"
"23.42.0",5,"Herstellung von Sanitärkeramik","23.42"
"23.43",4,"Herstellung von Isolatoren und Isolierteilen aus Keramik","23.4"
"23.43.0",5,"Herstellung von Isolatoren und Isolierteilen aus Keramik","23.43"
"23.44",4,"Herstellung von keramischen Erzeugnissen für sonstige technische Zwecke","23.4"
"23.44.0",5,"Herstellung von keramischen Erzeugnissen für sonstige technische Zwecke","23.44"
"23.49",4,"Herstellung von sonstigen keramischen Erzeugnissen","23.4"
"23.49.0",5,"Herstellung von sonstigen keramischen Erzeugnissen","23.49"
"23.5",3,"Herstellung von Zement, Kalk und gebranntem Gips",23
"23.51",4,"Herstellung von Zement","23.5"
"23.51.0",5,"Herstellung von Zement","23.51"
"23.52",4,"Herstellung von Kalk und gebranntem Gips","23.5"
"23.52.0",5,"Herstellung von Kalk und gebranntem Gips","23.52"
"23.6",3,"Herstellung von Erzeugnissen aus Beton, Zement und Gips",23
"23.61",4,"Herstellung von Erzeugnissen aus Beton, Zement und Kalksandstein für den Bau","23.6"
"23.61.0",5,"Herstellung von Erzeugnissen aus Beton, Zement und Kalksandstein für den Bau","23.61"
"23.62",4,"Herstellung von Gipserzeugnissen für den Bau","23.6"
"23.62.0",5,"Herstellung von Gipserzeugnissen für den Bau","23.62"
"23.63",4,"Herstellung von Frischbeton (Transportbeton)","23.6"
"23.63.0",5,"Herstellung von Frischbeton (Transportbeton)","23.63"
"23.64",4,"Herstellung von Mörtel und anderem Beton (Trockenbeton)","23.6"
"23.64.0",5,"Herstellung von Mörtel und anderem Beton (Trockenbeton)","23.64"
"23.65",4,"Herstellung von Faserzementwaren","23.6"
"23.65.0",5,"Herstellung von Faserzementwaren","23.65"
"23.69",4,"Herstellung von sonstigen Erzeugnissen aus Beton, Zement und Gips a. n. g.","23.6"
"23.69.0",5,"Herstellung von sonstigen Erzeugnissen aus Beton, Zement und Gips a. n. g.","23.69"
"23.7",3,"Be- und Verarbeitung von Naturwerksteinen und Natursteinen a. n. g.",23
"23.70",4,"Be- und Verarbeitung von Naturwerksteinen und Natursteinen a. n. g.","23.7"
"23.70.0",5,"Be- und Verarbeitung von Naturwerksteinen und Natursteinen a. n. g.","23.70"
"23.9",3,"Herstellung von Schleifkörpern und Schleifmitteln auf Unterlage sowie sonstigen Erzeugnissen aus nichtmetallischen Mineralien a. n. g.",23
"23.91",4,"Herstellung von Schleifkörpern und Schleifmitteln auf Unterlage","23.9"
"23.91.0",5,"Herstellung von Schleifkörpern und Schleifmitteln auf Unterlage","23.91"
"23.99",4,"Herstellung von sonstigen Erzeugnissen aus nichtmetallischen Mineralien a. n. g.","23.9"
"23.99.0",5,"Herstellung von sonstigen Erzeugnissen aus nichtmetallischen Mineralien a. n. g.","23.99"
24,2,"Metallerzeugung und -bearbeitung","C"
"24.1",3,"Erzeugung von Roheisen, Stahl und Ferrolegierungen",24
"24.10",4,"Erzeugung von Roheisen, Stahl und Ferrolegierungen","24.1"
"24.10.0",5,"Erzeugung von Roheisen, Stahl und Ferrolegierungen","24.10"
"24.2",3,"Herstellung von Stahlrohren, Rohrform-, Rohrverschluss- und Rohrverbindungsstücken aus Stahl",24
"24.20",4,"Herstellung von Stahlrohren, Rohrform-, Rohrverschluss- und Rohrverbindungsstücken aus Stahl","24.2"
"24.20.1",5,"Herstellung von Stahlrohren (ohne Präzisionsstahlrohre)","24.20"
"24.20.2",5,"Herstellung von Präzisionsstahlrohren","24.20"
"24.20.3",5,"Herstellung von Rohrform-, Rohrverschluss- und Rohrverbindungsstücken aus Stahl","24.20"
"24.3",3,"Sonstige erste Bearbeitung von Eisen und Stahl",24
"24.31",4,"Herstellung von Blankstahl","24.3"
"24.31.0",5,"Herstellung von Blankstahl","24.31"
"24.32",4,"Herstellung von Kaltband mit einer Breite von weniger als 600 mm","24.3"
"24.32.0",5,"Herstellung von Kaltband mit einer Breite von weniger als 600 mm","24.32"
"24.33",4,"Herstellung von Kaltprofilen","24.3"
"24.33.0",5,"Herstellung von Kaltprofilen","24.33"
"24.34",4,"Herstellung von kaltgezogenem Draht","24.3"
"24.34.0",5,"Herstellung von kaltgezogenem Draht","24.34"
"24.4",3,"Erzeugung und erste Bearbeitung von NE-Metallen",24
"24.41",4,"Erzeugung und erste Bearbeitung von Edelmetallen","24.4"
"24.41.0",5,"Erzeugung und erste Bearbeitung von Edelmetallen","24.41"
"24.42",4,"Erzeugung und erste Bearbeitung von Aluminium","24.4"
"24.42.0",5,"Erzeugung und erste Bearbeitung von Aluminium","24.42"
"24.43",4,"Erzeugung und erste Bearbeitung von Blei, Zink und Zinn","24.4"
"24.43.0",5,"Erzeugung und erste Bearbeitung von Blei, Zink und Zinn","24.43"
"24.44",4,"Erzeugung und erste Bearbeitung von Kupfer","24.4"
"24.44.0",5,"Erzeugung und erste Bearbeitung von Kupfer","24.44"
"24.45",4,"Erzeugung und erste Bearbeitung von sonstigen NE-Metallen","24.4"
"24.45.0",5,"Erzeugung und erste Bearbeitung von sonstigen NE-Metallen","24.45"
"24.46",4,"Aufbereitung von Kernbrennstoffen","24.4"
"24.46.0",5,"Aufbereitung von Kernbrennstoffen","24.46"
"24.5",3,"Gießereien",24
"24.51",4,"Eisengießereien","24.5"
"24.51.0",5,"Eisengießereien","24.51"
"24.52",4,"Stahlgießereien","24.5"
"24.52.0",5,"Stahlgießereien","24.52"
"24.53",4,"Leichtmetallgießereien","24.5"
"24.53.0",5,"Leichtmetallgießereien","24.53"
"24.54",4,"Buntmetallgießereien","24.5"
"24.54.0",5,"Buntmetallgießereien","24.54"
25,2,"Herstellung von Metallerzeugnissen","C"
"25.1",3,"Stahl- und Leichtmetallbau",25
"25.11",4,"Herstellung von Metallkonstruktionen","25.1"
"25.11.0",5,"Herstellung von Metallkonstruktionen","25.11"
"25.12",4,"Herstellung von Ausbauelementen aus Metall","25.1"
"25.12.0",5,"Herstellung von Ausbauelementen aus Metall","25.12"
"25.2",3,"Herstellung von Metalltanks und -behältern; Herstellung von Heizkörpern und -kesseln für Zentralheizungen",25
"25.21",4,"Herstellung von Heizkörpern und -kesseln für Zentralheizungen","25.2"
"25.21.0",5,"Herstellung von Heizkörpern und -kesseln für Zentralheizungen","25.21"
"25.29",4,"Herstellung von Sammelbehältern, Tanks u. ä. Behältern aus Metall","25.2"
"25.29.0",5,"Herstellung von Sammelbehältern, Tanks u. ä. Behältern aus Metall","25.29"
"25.3",3,"Herstellung von Dampfkesseln (ohne Zentralheizungskessel)",25
"25.30",4,"Herstellung von Dampfkesseln (ohne Zentralheizungskessel)","25.3"
"25.30.0",5,"Herstellung von Dampfkesseln (ohne Zentralheizungskessel)","25.30"
"25.4",3,"Herstellung von Waffen und Munition",25
"25.40",4,"Herstellung von Waffen und Munition","25.4"
"25.40.0",5,"Herstellung von Waffen und Munition","25.40"
"25.5",3,"Herstellung von Schmiede-, Press-, Zieh- und Stanzteilen, gewalzten Ringen und pulvermetallurgischen Erzeugnissen",25
"25.50",4,"Herstellung von Schmiede-, Press-, Zieh- und Stanzteilen, gewalzten Ringen und pulvermetallurgischen Erzeugnissen","25.5"
"25.50.1",5,"Herstellung von Freiformschmiedestücken","25.50"
"25.50.2",5,"Herstellung von Gesenkschmiedeteilen","25.50"
"25.50.3",5,"Herstellung von Kaltfließpressteilen","25.50"
"25.50.4",5,"Herstellung von Press-, Zieh- und Stanzteilen","25.50"
"25.50.5",5,"Herstellung von pulvermetallurgischen Erzeugnissen","25.50"
"25.6",3,"Oberflächenveredlung und Wärmebehandlung; Mechanik a. n. g.",25
"25.61",4,"Oberflächenveredlung und Wärmebehandlung","25.6"
"25.61.0",5,"Oberflächenveredlung und Wärmebehandlung","25.61"
"25.62",4,"Mechanik a. n. g.","25.6"
"25.62.0",5,"Mechanik a. n. g.","25.62"
"25.7",3,"Herstellung von Schneidwaren, Werkzeugen, Schlössern und Beschlägen aus unedlen Metallen",25
"25.71",4,"Herstellung von Schneidwaren und Bestecken aus unedlen Metallen","25.7"
"25.71.0",5,"Herstellung von Schneidwaren und Bestecken aus unedlen Metallen","25.71"
"25.72",4,"Herstellung von Schlössern und Beschlägen aus unedlen Metallen","25.7"
"25.72.0",5,"Herstellung von Schlössern und Beschlägen aus unedlen Metallen","25.72"
"25.73",4,"Herstellung von Werkzeugen","25.7"
"25.73.1",5,"Herstellung von Handwerkzeugen","25.73"
"25.73.2",5,"Herstellung von Sägen und von Maschinenwerkzeugen für die Holzbearbeitung","25.73"
"25.73.3",5,"Herstellung von auswechselbaren Werkzeugen für die Metallbearbeitung a. n. g.","25.73"
"25.73.4",5,"Herstellung von Geräten für die Landwirtschaft","25.73"
"25.73.5",5,"Herstellung von sonstigen Werkzeugen","25.73"
"25.9",3,"Herstellung von sonstigen Metallwaren",25
"25.91",4,"Herstellung von Fässern, Trommeln, Dosen, Eimern u. ä. Behältern aus Metall","25.9"
"25.91.0",5,"Herstellung von Fässern, Trommeln, Dosen, Eimern u. ä. Behältern aus Metall","25.91"
"25.92",4,"Herstellung von Verpackungen und Verschlüssen aus Eisen, Stahl und NE-Metall","25.9"
"25.92.0",5,"Herstellung von Verpackungen und Verschlüssen aus Eisen, Stahl und NE-Metall","25.92"
"25.93",4,"Herstellung von Drahtwaren, Ketten und Federn","25.9"
"25.93.0",5,"Herstellung von Drahtwaren, Ketten und Federn","25.93"
"25.94",4,"Herstellung von Schrauben und Nieten","25.9"
"25.94.0",5,"Herstellung von Schrauben und Nieten","25.94"
"25.99",4,"Herstellung von sonstigen Metallwaren a. n. g.","25.9"
"25.99.1",5,"Herstellung von nicht elektrischen Haushaltsartikeln aus Metall","25.99"
"25.99.2",5,"Herstellung von Panzerschränken und Tresoranlagen","25.99"
"25.99.3",5,"Herstellung von Metallwaren a. n. g.","25.99"
26,2,"Herstellung von Datenverarbeitungsgeräten, elektronischen und optischen Erzeugnissen","C"
"26.1",3,"Herstellung von elektronischen Bauelementen und Leiterplatten",26
"26.11",4,"Herstellung von elektronischen Bauelementen","26.1"
"26.11.1",5,"Herstellung von Solarzellen und Solarmodulen","26.11"
"26.11.9",5,"Herstellung von sonstigen elektronischen Bauelementen","26.11"
"26.12",4,"Herstellung von bestückten Leiterplatten","26.1"
"26.12.0",5,"Herstellung von bestückten Leiterplatten","26.12"
"26.2",3,"Herstellung von Datenverarbeitungsgeräten und peripheren Geräten",26
"26.20",4,"Herstellung von Datenverarbeitungsgeräten und peripheren Geräten","26.2"
"26.20.0",5,"Herstellung von Datenverarbeitungsgeräten und peripheren Geräten","26.20"
"26.3",3,"Herstellung von Geräten und Einrichtungen der Telekommunikationstechnik",26
"26.30",4,"Herstellung von Geräten und Einrichtungen der Telekommunikationstechnik","26.3"
"26.30.0",5,"Herstellung von Geräten und Einrichtungen der Telekommunikationstechnik","26.30"
"26.4",3,"Herstellung von Geräten der Unterhaltungselektronik",26
"26.40",4,"Herstellung von Geräten der Unterhaltungselektronik","26.4"
"26.40.0",5,"Herstellung von Geräten der Unterhaltungselektronik","26.40"
"26.5",3,"Herstellung von Mess-, Kontroll-, Navigations- u. ä. Instrumenten und Vorrichtungen; Herstellung von Uhren",26
"26.51",4,"Herstellung von Mess-, Kontroll-, Navigations- u. ä. Instrumenten und Vorrichtungen","26.5"
"26.51.1",5,"Herstellung von elektrischen Mess-, Kontroll-, Navigations- u. ä. Instrumenten und Vorrichtungen","26.51"
"26.51.2",5,"Herstellung von nicht elektrischen Mess-, Kontroll-, Navigations- u. ä. Instrumenten und Vorrichtungen","26.51"
"26.51.3",5,"Herstellung von Prüfmaschinen","26.51"
"26.52",4,"Herstellung von Uhren","26.5"
"26.52.0",5,"Herstellung von Uhren","26.52"
"26.6",3,"Herstellung von Bestrahlungs- und Elektrotherapiegeräten und elektromedizinischen Geräten",26
"26.60",4,"Herstellung von Bestrahlungs- und Elektrotherapiegeräten und elektromedizinischen Geräten","26.6"
"26.60.0",5,"Herstellung von Bestrahlungs- und Elektrotherapiegeräten und elektromedizinischen Geräten","26.60"
"26.7",3,"Herstellung von optischen und fotografischen Instrumenten und Geräten",26
"26.70",4,"Herstellung von optischen und fotografischen Instrumenten und Geräten","26.7"
"26.70.0",5,"Herstellung von optischen und fotografischen Instrumenten und Geräten","26.70"
"26.8",3,"Herstellung von magnetischen und optischen Datenträgern",26
"26.80",4,"Herstellung von magnetischen und optischen Datenträgern","26.8"
"26.80.0",5,"Herstellung von magnetischen und optischen Datenträgern","26.80"
27,2,"Herstellung von elektrischen Ausrüstungen","C"
"27.1",3,"Herstellung von Elektromotoren, Generatoren, Transformatoren, Elektrizitätsverteilungs- und schalteinrichtungen",27
"27.11",4,"Herstellung von Elektromotoren, Generatoren und Transformatoren","27.1"
"27.11.0",5,"Herstellung von Elektromotoren, Generatoren und Transformatoren","27.11"
"27.12",4,"Herstellung von Elektrizitätsverteilungs- und -schalteinrichtungen","27.1"
"27.12.0",5,"Herstellung von Elektrizitätsverteilungs- und -schalteinrichtungen","27.12"
"27.2",3,"Herstellung von Batterien und Akkumulatoren",27
"27.20",4,"Herstellung von Batterien und Akkumulatoren","27.2"
"27.20.0",5,"Herstellung von Batterien und Akkumulatoren","27.20"
"27.3",3,"Herstellung von Kabeln und elektrischem Installationsmaterial",27
"27.31",4,"Herstellung von Glasfaserkabeln","27.3"
"27.31.0",5,"Herstellung von Glasfaserkabeln","27.31"
"27.32",4,"Herstellung von sonstigen elektronischen und elektrischen Drähten und Kabeln","27.3"
"27.32.0",5,"Herstellung von sonstigen elektronischen und elektrischen Drähten und Kabeln","27.32"
"27.33",4,"Herstellung von elektrischem Installationsmaterial","27.3"
"27.33.0",5,"Herstellung von elektrischem Installationsmaterial","27.33"
"27.4",3,"Herstellung von elektrischen Lampen und Leuchten",27
"27.40",4,"Herstellung von elektrischen Lampen und Leuchten","27.4"
"27.40.0",5,"Herstellung von elektrischen Lampen und Leuchten","27.40"
"27.5",3,"Herstellung von Haushaltsgeräten",27
"27.51",4,"Herstellung von elektrischen Haushaltsgeräten","27.5"
"27.51.0",5,"Herstellung von elektrischen Haushaltsgeräten","27.51"
"27.52",4,"Herstellung von nicht elektrischen Haushaltsgeräten","27.5"
"27.52.0",5,"Herstellung von nichtelektrischen Haushaltsgeräten","27.52"
"27.9",3,"Herstellung von sonstigen elektrischen Ausrüstungen und Geräten a. n. g.",27
"27.90",4,"Herstellung von sonstigen elektrischen Ausrüstungen und Geräten a. n. g.","27.9"
"27.90.0",5,"Herstellung von sonstigen elektrischen Ausrüstungen und Geräten a. n. g.","27.90"
28,2,"Maschinenbau","C"
"28.1",3,"Herstellung von nicht wirtschaftszweigspezifischen Maschinen",28
"28.11",4,"Herstellung von Verbrennungsmotoren und Turbinen (ohne Motoren für Luft- und Straßenfahrzeuge)","28.1"
"28.11.0",5,"Herstellung von Verbrennungsmotoren und Turbinen (ohne Motoren für Luft- und Straßenfahrzeuge)","28.11"
"28.12",4,"Herstellung von hydraulischen und pneumatischen Komponenten und Systemen","28.1"
"28.12.0",5,"Herstellung von hydraulischen und pneumatischen Komponenten und Systemen","28.12"
"28.13",4,"Herstellung von Pumpen und Kompressoren a. n. g.","28.1"
"28.13.0",5,"Herstellung von Pumpen und Kompressoren a. n. g.","28.13"
"28.14",4,"Herstellung von Armaturen a. n. g","28.1"
"28.14.0",5,"Herstellung von Armaturen a. n. g.","28.14"
"28.15",4,"Herstellung von Lagern, Getrieben, Zahnrädern und Antriebselementen","28.1"
"28.15.0",5,"Herstellung von Lagern, Getrieben, Zahnrädern und Antriebselementen","28.15"
"28.2",3,"Herstellung von sonstigen nicht wirtschaftszweigspezifischen Maschinen",28
"28.21",4,"Herstellung von Öfen und Brennern","28.2"
"28.21.1",5,"Herstellung von Solarwärmekollektoren","28.21"
"28.21.9",5,"Herstellung von sonstigen Öfen und Brennern","28.21"
"28.22",4,"Herstellung von Hebezeugen und Fördermitteln","28.2"
"28.22.0",5,"Herstellung von Hebezeugen und Fördermitteln","28.22"
"28.23",4,"Herstellung von Büromaschinen (ohne Datenverarbeitungsgeräte und periphere Geräte)","28.2"
"28.23.0",5,"Herstellung von Büromaschinen (ohne Datenverarbeitungsgeräte und periphere Geräte)","28.23"
"28.24",4,"Herstellung von handgeführten Werkzeugen mit Motorantrieb","28.2"
"28.24.0",5,"Herstellung von handgeführten Werkzeugen mit Motorantrieb","28.24"
"28.25",4,"Herstellung von kälte- und lufttechnischen Erzeugnissen, nicht für den Haushalt","28.2"
"28.25.0",5,"Herstellung von kälte- und lufttechnischen Erzeugnissen, nicht für den Haushalt","28.25"
"28.29",4,"Herstellung von sonstigen nicht wirtschaftszweigspezifischen Maschinen a. n. g.","28.2"
"28.29.0",5,"Herstellung von sonstigen nicht wirtschaftszweigspezifischen Maschinen a. n. g.","28.29"
"28.3",3,"Herstellung von land- und forstwirtschaftlichen Maschinen",28
"28.30",4,"Herstellung von land- und forstwirtschaftlichen Maschinen","28.3"
"28.30.0",5,"Herstellung von land- und forstwirtschaftlichen Maschinen","28.30"
"28.4",3,"Herstellung von Werkzeugmaschinen",28
"28.41",4,"Herstellung von Werkzeugmaschinen für die Metallbearbeitung","28.4"
"28.41.0",5,"Herstellung von Werkzeugmaschinen für die Metallbearbeitung","28.41"
"28.49",4,"Herstellung von sonstigen Werkzeugmaschinen","28.4"
"28.49.1",5,"Herstellung von Werkzeugmaschinen zur Bearbeitung von Steinen, Beton und sonstigen mineralischen Stoffen","28.49"
"28.49.2",5,"Herstellung von Werkzeugmaschinen zur Bearbeitung von sonstigen harten Stoffen","28.49"
"28.49.3",5,"Herstellung von Maschinenspannzeugen und sonstigem Zubehör für Werkzeugmaschinen","28.49"
"28.49.9",5,"Herstellung von sonstigen Werkzeugmaschinen a. n. g.","28.49"
"28.9",3,"Herstellung von Maschinen für sonstige bestimmte Wirtschaftszweige",28
"28.91",4,"Herstellung von Maschinen für die Metallerzeugung, von Walzwerkseinrichtungen und Gießmaschinen","28.9"
"28.91.0",5,"Herstellung von Maschinen für die Metallerzeugung, von Walzwerkseinrichtungen und Gießmaschinen","28.91"
"28.92",4,"Herstellung von Bergwerks-, Bau- und Baustoffmaschinen","28.9"
"28.92.1",5,"Herstellung von Bergwerksmaschinen","28.92"
"28.92.2",5,"Herstellung von Bau- und Baustoffmaschinen","28.92"
"28.93",4,"Herstellung von Maschinen für die Nahrungs- und Genussmittelerzeugung und die Tabakverarbeitung","28.9"
"28.93.0",5,"Herstellung von Maschinen für die Nahrungs- und Genussmittelerzeugung und die Tabakverarbeitung","28.93"
"28.94",4,"Herstellung von Maschinen für die Textil- und Bekleidungsherstellung und die Lederverarbeitung","28.9"
"28.94.0",5,"Herstellung von Maschinen für die Textil- und Bekleidungsherstellung und die Lederverarbeitung","28.94"
"28.95",4,"Herstellung von Maschinen für die Papiererzeugung und -verarbeitung","28.9"
"28.95.0",5,"Herstellung von Maschinen für die Papiererzeugung und -verarbeitung","28.95"
"28.96",4,"Herstellung von Maschinen für die Verarbeitung von Kunststoffen und Kautschuk","28.9"
"28.96.0",5,"Herstellung von Maschinen für die Verarbeitung von Kunststoffen und Kautschuk","28.96"
"28.99",4,"Herstellung von Maschinen für sonstige bestimmte Wirtschaftszweige a. n. g.","28.9"
"28.99.0",5,"Herstellung von Maschinen für sonstige bestimmte Wirtschaftszweige a. n. g.","28.99"
29,2,"Herstellung von Kraftwagen und Kraftwagenteilen","C"
"29.1",3,"Herstellung von Kraftwagen und Kraftwagenmotoren",29
"29.10",4,"Herstellung von Kraftwagen und Kraftwagenmotoren","29.1"
"29.10.1",5,"Herstellung von Personenkraftwagen und Personenkraftwagenmotoren","29.10"
"29.10.2",5,"Herstellung von Nutzkraftwagen und Nutzkraftwagenmotoren","29.10"
"29.2",3,"Herstellung von Karosserien, Aufbauten und Anhängern",29
"29.20",4,"Herstellung von Karosserien, Aufbauten und Anhängern","29.2"
"29.20.0",5,"Herstellung von Karosserien, Aufbauten und Anhängern","29.20"
"29.3",3,"Herstellung von Teilen und Zubehör für Kraftwagen",29
"29.31",4,"Herstellung elektrischer und elektronischer Ausrüstungsgegenstände für Kraftwagen","29.3"
"29.31.0",5,"Herstellung elektrischer und elektronischer Ausrüstungsgegenstände für Kraftwagen","29.31"
"29.32",4,"Herstellung von sonstigen Teilen und sonstigem Zubehör für Kraftwagen","29.3"
"29.32.0",5,"Herstellung von sonstigen Teilen und sonstigem Zubehör für Kraftwagen","29.32"
30,2,"Sonstiger Fahrzeugbau","C"
"30.1",3,"Schiff- und Bootsbau",30
"30.11",4,"Schiffbau (ohne Boots- und Yachtbau)","30.1"
"30.11.0",5,"Schiffbau (ohne Boots- und Yachtbau)","30.11"
"30.12",4,"Boots- und Yachtbau","30.1"
"30.12.0",5,"Boots- und Yachtbau","30.12"
"30.2",3,"Schienenfahrzeugbau",30
"30.20",4,"Schienenfahrzeugbau","30.2"
"30.20.1",5,"Herstellung von Lokomotiven und anderen Schienenfahrzeugen","30.20"
"30.20.2",5,"Herstellung von Eisenbahninfrastruktur","30.20"
"30.3",3,"Luft- und Raumfahrzeugbau",30
"30.30",4,"Luft- und Raumfahrzeugbau","30.3"
"30.30.0",5,"Luft- und Raumfahrzeugbau","30.30"
"30.4",3,"Herstellung von militärischen Kampffahrzeugen",30
"30.40",4,"Herstellung von militärischen Kampffahrzeugen","30.4"
"30.40.0",5,"Herstellung von militärischen Kampffahrzeugen","30.40"
"30.9",3,"Herstellung von Fahrzeugen a. n. g.",30
"30.91",4,"Herstellung von Krafträdern","30.9"
"30.91.0",5,"Herstellung von Krafträdern","30.91"
"30.92",4,"Herstellung von Fahrrädern sowie von Behindertenfahrzeugen","30.9"
"30.92.0",5,"Herstellung von Fahrrädern sowie von Behindertenfahrzeugen","30.92"
"30.99",4,"Herstellung von sonstigen Fahrzeugen a. n. g.","30.9"
"30.99.0",5,"Herstellung von sonstigen Fahrzeugen a. n. g.","30.99"
31,2,"Herstellung von Möbeln","C"
"31.0",3,"Herstellung von Möbeln",31
"31.01",4,"Herstellung von Büro- und Ladenmöbeln","31.0"
"31.01.1",5,"Herstellung von Büromöbeln","31.01"
"31.01.2",5,"Herstellung von Ladenmöbeln und sonstigen Objektmöbeln","31.01"
"31.02",4,"Herstellung von Küchenmöbeln","31.0"
"31.02.0",5,"Herstellung von Küchenmöbeln","31.02"
"31.03",4,"Herstellung von Matratzen","31.0"
"31.03.0",5,"Herstellung von Matratzen","31.03"
"31.09",4,"Herstellung von sonstigen Möbeln","31.0"
"31.09.1",5,"Herstellung von Polstermöbeln","31.09"
"31.09.9",5,"Herstellung von sonstigen Möbeln a. n. g.","31.09"
32,2,"Herstellung von sonstigen Waren","C"
"32.1",3,"Herstellung von Münzen, Schmuck und ähnlichen Erzeugnissen",32
"32.11",4,"Herstellung von Münzen","32.1"
"32.11.0",5,"Herstellung von Münzen","32.11"
"32.12",4,"Herstellung von Schmuck, Gold- und Silberschmiedewaren (ohne Fantasieschmuck)","32.1"
"32.12.0",5,"Herstellung von Schmuck, Gold- und Silberschmiedewaren (ohne Fantasieschmuck)","32.12"
"32.13",4,"Herstellung von Fantasieschmuck","32.1"
"32.13.0",5,"Herstellung von Fantasieschmuck","32.13"
"32.2",3,"Herstellung von Musikinstrumenten",32
"32.20",4,"Herstellung von Musikinstrumenten","32.2"
"32.20.0",5,"Herstellung von Musikinstrumenten","32.20"
"32.3",3,"Herstellung von Sportgeräten",32
"32.30",4,"Herstellung von Sportgeräten","32.3"
"32.30.0",5,"Herstellung von Sportgeräten","32.30"
"32.4",3,"Herstellung von Spielwaren",32
"32.40",4,"Herstellung von Spielwaren","32.4"
"32.40.0",5,"Herstellung von Spielwaren","32.40"
"32.5",3,"Herstellung von medizinischen und zahnmedizinischen Apparaten und Materialien",32
"32.50",4,"Herstellung von medizinischen und zahnmedizinischen Apparaten und Materialien","32.5"
"32.50.1",5,"Herstellung von medizintechnischen Apparaten und Materialien a. n. g.","32.50"
"32.50.2",5,"Herstellung von orthopädischen Erzeugnissen","32.50"
"32.50.3",5,"Zahntechnische Laboratorien","32.50"
"32.9",3,"Herstellung von Erzeugnissen a. n. g.",32
"32.91",4,"Herstellung von Besen und Bürsten","32.9"
"32.91.0",5,"Herstellung von Besen und Bürsten","32.91"
"32.99",4,"Herstellung von sonstigen Erzeugnissen a. n. g.","32.9"
"32.99.0",5,"Herstellung von sonstigen Erzeugnissen a. n. g.","32.99"
33,2,"Reparatur und Installation von Maschinen und Ausrüstungen","C"
"33.1",3,"Reparatur von Metallerzeugnissen, Maschinen und Ausrüstungen",33
"33.11",4,"Reparatur von Metallerzeugnissen","33.1"
"33.11.0",5,"Reparatur von Metallerzeugnissen","33.11"
"33.12",4,"Reparatur von Maschinen","33.1"
"33.12.0",5,"Reparatur von Maschinen","33.12"
"33.13",4,"Reparatur von elektronischen und optischen Geräten","33.1"
"33.13.0",5,"Reparatur von elektronischen und optischen Geräten","33.13"
"33.14",4,"Reparatur von elektrischen Ausrüstungen","33.1"
"33.14.0",5,"Reparatur von elektrischen Ausrüstungen","33.14"
"33.15",4,"Reparatur und Instandhaltung von Schiffen, Booten und Yachten","33.1"
"33.15.0",5,"Reparatur und Instandhaltung von Schiffen, Booten und Yachten","33.15"
"33.16",4,"Reparatur und Instandhaltung von Luft- und Raumfahrzeugen","33.1"
"33.16.0",5,"Reparatur und Instandhaltung von Luft- und Raumfahrzeugen","33.16"
"33.17",4,"Reparatur und Instandhaltung von Fahrzeugen a. n. g.","33.1"
"33.17.0",5,"Reparatur und Instandhaltung von Fahrzeugen a. n. g.","33.17"
"33.19",4,"Reparatur von sonstigen Ausrüstungen","33.1"
"33.19.0",5,"Reparatur von sonstigen Ausrüstungen","33.19"
"33.2",3,"Installation von Maschinen und Ausrüstungen a. n. g.",33
"33.20",4,"Installation von Maschinen und Ausrüstungen a. n. g.","33.2"
