"Code","Ebene","Titel","Parent"
"03.12",4,"Süßwasserfischerei","03.1"
"03.12.0",5,"Süßwasserfischerei","03.12"
"03.2",3,"Aquakultur",03
"03.21",4,"Meeresaquakultur","03.2"
"03.21.0",5,"Meeresaquakultur","03.21"
"03.22",4,"Süßwasseraquakultur","03.2"
"03.22.0",5,"Süßwasseraquakultur","03.22"
"B",1,"Bergbau und Gewinnung von Steinen und Erden",
05,2,"Kohlenbergbau","B"
"05.1",3,"Steinkohlenbergbau",05
"05.10",4,"Steinkohlenbergbau","05.1"
"05.10.0",5,"Steinkohlenbergbau","05.10"
"05.2",3,"Braunkohlenbergbau",05
"05.20",4,"Braunkohlenbergbau","05.2"
"05.20.0",5,"Braunkohlenbergbau","05.20"
06,2,"Gewinnung von Erdöl und Erdgas","B"
"06.1",3,"Gewinnung von Erdöl",06
"06.10",4,"Gewinnung von Erdöl","06.1"
"06.10.0",5,"Gewinnung von Erdöl","06.10"
"06.2",3,"Gewinnung von Erdgas",06
"06.20",4,"Gewinnung von Erdgas","06.2"
"06.20.0",5,"Gewinnung von Erdgas","06.20"
07,2,"Erzbergbau","B"
"07.1",3,"Eisenerzbergbau",07
"07.10",4,"Eisenerzbergbau","07.1"
"07.10.0",5,"Eisenerzbergbau","07.10"
"07.2",3,"NE-Metallerzbergbau",07
"07.21",4,"Bergbau auf Uran- und Thoriumerze","07.2"
"07.21.0",5,"Bergbau auf Uran- und Thoriumerze","07.21"
"07.29",4,"Sonstiger NE-Metallerzbergbau","07.2"
"07.29.0",5,"Sonstiger NE-Metallerzbergbau","07.29"
08,2,"Gewinnung von Steinen und Erden, sonstiger Bergbau","B"
"08.1",3,"Gewinnung von Natursteinen, Kies, Sand, Ton und Kaolin",08
"08.11",4,"Gewinnung von Naturwerksteinen und Natursteinen, Kalk- und Gipsstein, Kreide und Schiefer","08.1"
"08.11.0",5,"Gewinnung von Naturwerksteinen und Natursteinen, Kalk- und Gipsstein, Kreide und Schiefer","08.11"
"08.12",4,"Gewinnung von Kies, Sand, Ton und Kaolin","08.1"
"08.12.0",5,"Gewinnung von Kies, Sand, Ton und Kaolin","08.12"
"08.9",3,"Sonstiger Bergbau; Gewinnung von Steinen und Erden a. n. g.",08
"08.91",4,"Bergbau auf chemische und Düngemittelminerale","08.9"
"08.91.0",5,"Bergbau auf chemische und Düngemittelminerale","08.91"
"08.92",4,"Torfgewinnung","08.9"
"08.92.0",5,"Torfgewinnung","08.92"
"08.93",4,"Gewinnung von Salz","08.9"
"08.93.0",5,"Gewinnung von Salz","08.93"
"08.99",4,"Gewinnung von Steinen und Erden a. n. g.","08.9"
"08.99.0",5,"Gewinnung von Steinen und Erden a. n. g.","08.99"
09,2,"Erbringung von Dienstleistungen für den Bergbau und für die Gewinnung von Steinen und Erden","B"
"09.1",3,"Erbringung von Dienstleistungen für die Gewinnung von Erdöl und Erdgas",09
"09.10",4,"Erbringung von Dienstleistungen für die Gewinnung von Erdöl und Erdgas","09.1"
"09.10.0",5,"Erbringung von Dienstleistungen für die Gewinnung von Erdöl und Erdgas","09.10"
"09.9",3,"Erbringung von Dienstleistungen für den sonstigen Bergbau und die Gewinnung von Steinen und Erden",09
"09.90",4,"Erbringung von Dienstleistungen für den sonstigen Bergbau und die Gewinnung von Steinen und Erden","09.9"
"09.90.0",5,"Erbringung von Dienstleistungen für den sonstigen Bergbau und die Gewinnung von Steinen und Erden","09.90"
"C",1,"Verarbeitendes Gewerbe",
10,2,"Herstellung von Nahrungs- und Futtermitteln","C"
"10.1",3,"Schlachten und Fleischverarbeitung",10
"10.11",4,"Schlachten (ohne Schlachten von Geflügel)","10.1"
"10.11.0",5,"Schlachten (ohne Schlachten von Geflügel)","10.11"
"10.12",4,"Schlachten von Geflügel","10.1"
"10.12.0",5,"Schlachten von Geflügel","10.12"
"10.13",4,"Fleischverarbeitung","10.1"
"10.13.0",5,"Fleischverarbeitung","10.13"
"10.2",3,"Fischverarbeitung",10
"10.20",4,"Fischverarbeitung","10.2"
"10.20.0",5,"Fischverarbeitung","10.20"
"10.3",3,"Obst- und Gemüseverarbeitung",10
"10.31",4,"Kartoffelverarbeitung","10.3"
"10.31.0",5,"Kartoffelverarbeitung","10.31"
"10.32",4,"Herstellung von Frucht- und Gemüsesäften","10.3"
"10.32.0",5,"Herstellung von Frucht- und Gemüsesäften","10.32"
"10.39",4,"Sonstige Verarbeitung von Obst und Gemüse","10.3"
"10.39.0",5,"Sonstige Verarbeitung von Obst und Gemüse","10.39"
"10.4",3,"Herstellung von pflanzlichen und tierischen Ölen und Fetten",10
"10.41",4,"Herstellung von Ölen und Fetten (ohne Margarine u. ä. Nahrungsfette)","10.4"
"10.41.0",5,"Herstellung von Ölen und Fetten (ohne Margarine u. ä. Nahrungsfette)","10.41"
"10.42",4,"Herstellung von Margarine u. ä. Nahrungsfetten","10.4"
"10.42.0",5,"Herstellung von Margarine u. ä. Nahrungsfetten","10.42"
"10.5",3,"Milchverarbeitung",10
"10.51",4,"Milchverarbeitung (ohne Herstellung von Speiseeis)","10.5"
"10.51.0",5,"Milchverarbeitung (ohne Herstellung von Speiseeis)","10.51"
"10.52",4,"Herstellung von Speiseeis","10.5"
"10.52.0",5,"Herstellung von Speiseeis","10.52"
"10.6",3,"Mahl- und Schälmühlen, Herstellung von Stärke und Stärkeerzeugnissen",10
"10.61",4,"Mahl- und Schälmühlen","10.6"
"10.61.0",5,"Mahl- und Schälmühlen","10.61"
"10.62",4,"Herstellung von Stärke und Stärkeerzeugnissen","10.6"
"10.62.0",5,"Herstellung von Stärke und Stärkeerzeugnissen","10.62"
"10.7",3,"Herstellung von Back- und Teigwaren",10
"10.71",4,"Herstellung von Backwaren (ohne Dauerbackwaren)","10.7"
"10.71.0",5,"Herstellung von Backwaren (ohne Dauerbackwaren)","10.71"
"10.72",4,"Herstellung von Dauerbackwaren","10.7"
"10.72.0",5,"Herstellung von Dauerbackwaren","10.72"
"10.73",4,"Herstellung von Teigwaren","10.7"
"10.73.0",5,"Herstellung von Teigwaren","10.73"
"10.8",3,"Herstellung von sonstigen Nahrungsmitteln",10
"10.81",4,"Herstellung von Zucker","10.8"
"10.81.0",5,"Herstellung von Zucker","10.81"
"10.82",4,"Herstellung von Süßwaren (ohne Dauerbackwaren)","10.8"
"10.82.0",5,"Herstellung von Süßwaren (ohne Dauerbackwaren)","10.82"
"10.83",4,"Verarbeitung von Kaffee und Tee, Herstellung von Kaffee-Ersatz","10.8"
"10.83.0",5,"Verarbeitung von Kaffee und Tee, Herstellung von Kaffee-Ersatz","10.83"
"10.84",4,"Herstellung von Würzmitteln und Soßen","10.8"
"10.84.0",5,"Herstellung von Würzmitteln und Soßen","10.84"
"10.85",4,"Herstellung von Fertiggerichten","10.8"
"10.85.0",5,"Herstellung von Fertiggerichten","10.85"
"10.86",4,"Herstellung von homogenisierten und diätetischen Nahrungsmitteln","10.8"
"10.86.0",5,"Herstellung von homogenisierten und diätetischen Nahrungsmitteln","10.86"
"10.89",4,"Herstellung von sonstigen Nahrungsmitteln a. n. g.","10.8"
"10.89.0",5,"Herstellung von sonstigen Nahrungsmitteln a. n. g.","10.89"
"10.9",3,"Herstellung von Futtermitteln",10
"10.91",4,"Herstellung von Futtermitteln für Nutztiere","10.9"
"10.91.0",5,"Herstellung von Futtermitteln für Nutztiere","10.91"
