"code","broader","label_en","label_fr","label_es","label_ru","alternative","definition","note","uri"
"07","B","Mining of metal ores","","","","","","","https://unstats.un.org/classifications/ISIC/rev4/07"
"071","07","Mining of iron ores","","","","","","","https://unstats.un.org/classifications/ISIC/rev4/071"
"0710","071","Mining of iron ores","","","","","","","https://unstats.un.org/classifications/ISIC/rev4/0710"
"072","07","Mining of non-ferrous metal ores","","","","","","","https://unstats.un.org/classifications/ISIC/rev4/072"
"0721","072","Mining of uranium and thorium ores","","","","","","","https://unstats.un.org/classifications/ISIC/rev4/0721"
"0729","072","Mining of other non-ferrous metal ores","","","","","","","https://unstats.un.org/classifications/ISIC/rev4/0729"
"08","B","Other mining and quarrying","","","","","","","https://unstats.un.org/classifications/ISIC/rev4/08"
"081","08","Quarrying of stone, sand and clay","","","","","","","https://unstats.un.org/classifications/ISIC/rev4/081"
"0810","081","Quarrying of stone, sand and clay","","","","","","","https://unstats.un.org/classifications/ISIC/rev4/0810"
"089","08","Mining and quarrying n.e.c.","","","","","","","https://unstats.un.org/classifications/ISIC/rev4/089"
"0891","089","Mining of chemical and fertilizer minerals","","","","","","","https://unstats.un.org/classifications/ISIC/rev4/0891"
"0892","089","Extraction of peat","","","","","","","https://unstats.un.org/classifications/ISIC/rev4/0892"
"0893","089","Extraction of salt","","","","","","","https://unstats.un.org/classifications/ISIC/rev4/0893"
"0899","089","Other mining and quarrying n.e.c.","","","","","","","https://unstats.un.org/classifications/ISIC/rev4/0899"
"09","B","Mining support service activities","","","","","","","https://unstats.un.org/classifications/ISIC/rev4/09"
"091","09","Support activities for petroleum and natural gas extraction","","","","","","","https://unstats.un.org/classifications/ISIC/rev4/091"
"0910","091","Support activities for petroleum and natural gas extraction","","","","","","","https://unstats.un.org/classifications/ISIC/rev4/0910"
"099","09","Support activities for other mining and quarrying","","","","","","","https://unstats.un.org/classifications/ISIC/rev4/099"
"0990","099","Support activities for other mining and quarrying","","","","","","","https://unstats.un.org/classifications/ISIC/rev4/0990"
"10","C","Manufacture of food products","","","","","","","https://unstats.un.org/classifications/ISIC/rev4/10"
"101","10","Processing and preserving of meat","","","","","","","https://unstats.un.org/classifications/ISIC/rev4/101"
"1010","101","Processing and preserving of meat","","","","","","","https://unstats.un.org/classifications/ISIC/rev4/1010"
"102","10","Processing and preserving of fish, crustaceans and molluscs","","","","","","","https://unstats.un.org/classifications/ISIC/rev4/102"
"1020","102","Processing and preserving of fish, crustaceans and molluscs","","","","","","","https://unstats.un.org/classifications/ISIC/rev4/1020"
"103","10","Processing and preserving of fruit and vegetables","","","","","","","https://unstats.un.org/classifications/ISIC/rev4/103"
"1030","103","Processing and preserving of fruit and vegetables","","","","","","","https://unstats.un.org/classifications/ISIC/rev4/1030"
"104","10","Manufacture of vegetable and animal oils and fats","","","","","","","https://unstats.un.org/classifications/ISIC/rev4/104"
"1040","104","Manufacture of vegetable and animal oils and fats","","","","","","","https://unstats.un.org/classifications/ISIC/rev4/1040"
"105","10","Manufacture of dairy products","","","","","","","https://unstats.un.org/classifications/ISIC/rev4/105"
"1050","105","Manufacture of dairy products","","","","","","","https://unstats.un.org/classifications/ISIC/rev4/1050"
"106","10","Manufacture of grain mill products, starches and starch products","","","","","","","https://unstats.un.org/classifications/ISIC/rev4/106"
"1061","106","Manufacture of grain mill products","","","","","","","https://unstats.un.org/classifications/ISIC/rev4/1061"
"1062","106","Manufacture of starches and starch products","","","","","","","https://unstats.un.org/classifications/ISIC/rev4/1062"
"107","10","Manufacture of other food products","","","","","","","https://unstats.un.org/classifications/ISIC/rev4/107"
"1071","107","Manufacture of bakery products","","","","","","","https://unstats.un.org/classifications/ISIC/rev4/1071"
"1072","107","Manufacture of sugar","","","","","","","https://unstats.un.org/classifications/ISIC/rev4/1072"
"1073","107","Manufacture of cocoa, chocolate and sugar confectionery","","","","","","","https://unstats.un.org/classifications/ISIC/rev4/1073"
"1074","107","Manufacture of macaroni, noodles, couscous and similar farinaceous products","","","","","","","https://unstats.un.org/classifications/ISIC/rev4/1074"
"1075","107","Manufacture of prepared meals and dishes","","","","","","","https://unstats.un.org/classifications/ISIC/rev4/1075"
"1079","107","Manufacture of other food products n.e.c.","","","","","","","https://unstats.un.org/classifications/ISIC/rev4/1079"
"108","10","Manufacture of prepared animal feeds","","","","","","","https://unstats.un.org/classifications/ISIC/rev4/108"
"1080","108","Manufacture of prepared animal feeds","","","","","","","https://unstats.un.org/classifications/ISIC/rev4/1080"
"11","C","Manufacture of beverages","","","","","","","https://unstats.un.org/classifications/ISIC/rev4/11"
"110","11","Manufacture of beverages","","","","","","","https://unstats.un.org/classifications/ISIC/rev4/110"
"1101","110","Distilling, rectifying and blending of spirits","","","","","","","https://unstats.un.org/classifications/ISIC/rev4/1101"
"1102","110","Manufacture of wines","","","","","","","https://unstats.un.org/classifications/ISIC/rev4/1102"
"1103","110","Manufacture of malt liquors and malt","","","","","","","https://unstats.un.org/classifications/ISIC/rev4/1103"
"1104","110","Manufacture of soft drinks; production of mineral waters and other bottled waters","","","","","","","https://unstats.un.org/classifications/ISIC/rev4/1104"
"12","C","Manufacture of tobacco products","","","","","","","https://unstats.un.org/classifications/ISIC/rev4/12"
"120","12","Manufacture of tobacco products","","","","","","","https://unstats.un.org/classifications/ISIC/rev4/120"
"1200","120","Manufacture of tobacco products","","","","","","","https://unstats.un.org/classifications/ISIC/rev4/1200"
"13","C","Manufacture of textiles","","","","","","","https://unstats.un.org/classifications/ISIC/rev4/13"
"131","13","Spinning, weaving and finishing of textiles","","","","","","","https://unstats.un.org/classifications/ISIC/rev4/131"
"1311","131","Preparation and spinning of textile fibres","","","","","","","https://unstats.un.org/classifications/ISIC/rev4/1311"
"1312","131","Weaving of textiles","","","","","","","https://unstats.un.org/classifications/ISIC/rev4/1312"
"1313","131","Finishing of textiles","","","","","","","https://unstats.un.org/classifications/ISIC/rev4/1313"
"139","13","Manufacture of other textiles","","","","","","","https://unstats.un.org/classifications/ISIC/rev4/139"
"1391","139","Manufacture of knitted and crocheted fabrics","","","","","","","https://unstats.un.org/classifications/ISIC/rev4/1391"
"1392","139","Manufacture of made-up textile articles, except apparel","","","","","","","https://unstats.un.org/classifications/ISIC/rev4/1392"
"1393","139","Manufacture of carpets and rugs","","","","","","","https://unstats.un.org/classifications/ISIC/rev4/1393"
"1394","139","Manufacture of cordage, rope, twine and netting","","","","","","","https://unstats.un.org/classifications/ISIC/rev4/1394"
"1399","139","Manufacture of other textiles n.e.c.","","","","","","","https://unstats.un.org/classifications/ISIC/rev4/1399"
"14","C","Manufacture of wearing apparel","","","","","","","https://unstats.un.org/classifications/ISIC/rev4/14"
"141","14","Manufacture of wearing apparel, except fur apparel","","","","","","","https://unstats.un.org/classifications/ISIC/rev4/141"
"1410","141","Manufacture of wearing apparel, except fur apparel","","","","","","","https://unstats.un.org/classifications/ISIC/rev4/1410"
