mappings between ontologies: (file:/C://Users//KrdzavacN//git//ontologies//coy-ontology//coy-ontology//ontology//mapping//logmap-mappings//isic4_data.ttl , file:/C://Users//KrdzavacN//git//ontologies//coy-ontology//coy-ontology//ontology//mapping//logmap-mappings//tiva-21.ttl), 
source iri, target iri, type of mapping, mappings direction, mapping confidence,
https://data.coypu.org/classification/isic_r4/R , https://data.coypu.org/classification/tiva-21#D90T93 , 3 , -2 , 1.0,
https://data.coypu.org/classification/isic_r4/8542 , https://data.coypu.org/classification/tiva-21#D85 , 3 , -2 , 0.8153846153846154,
https://data.coypu.org/classification/isic_r4/Q , https://data.coypu.org/classification/tiva-21#D86T88 , 3 , -2 , 1.0,
https://data.coypu.org/classification/isic_r4/50 , https://data.coypu.org/classification/tiva-21#D50 , 3 , -2 , 1.0,
https://data.coypu.org/classification/isic_r4/531 , https://data.coypu.org/classification/tiva-21#D68 , 3 , -2 , 0.7501320655044903,
https://data.coypu.org/classification/isic_r4/854 , https://data.coypu.org/classification/tiva-21#D85 , 3 , -2 , 1.0,
https://data.coypu.org/classification/isic_r4/63 , https://data.coypu.org/classification/tiva-21#D62T63 , 3 , -2 , 0.8347235734528996,
https://data.coypu.org/classification/isic_r4/8530 , https://data.coypu.org/classification/tiva-21#D85 , 3 , -2 , 0.85,
https://data.coypu.org/classification/isic_r4/74 , https://data.coypu.org/classification/tiva-21#D69T75 , 3 , -2 , 1.0,
https://data.coypu.org/classification/isic_r4/20 , https://data.coypu.org/classification/tiva-21#D20 , 3 , -2 , 0.88,
https://data.coypu.org/classification/isic_r4/K , https://data.coypu.org/classification/tiva-21#D64T66 , 3 , -2 , 1.0,
https://data.coypu.org/classification/isic_r4/85 , https://data.coypu.org/classification/tiva-21#D85 , 3 , -2 , 1.0,
https://data.coypu.org/classification/isic_r4/2100 , https://data.coypu.org/classification/tiva-21#D21 , 3 , -2 , 0.9405405405405406,
https://data.coypu.org/classification/isic_r4/3313 , https://data.coypu.org/classification/tiva-21#D26 , 3 , -2 , 0.8021123197571465,
https://data.coypu.org/classification/isic_r4/5819 , https://data.coypu.org/classification/tiva-21#D58T60 , 3 , -2 , 0.775,
https://data.coypu.org/classification/isic_r4/3530 , https://data.coypu.org/classification/tiva-21#D35 , 3 , -2 , 0.8588235294117647,
https://data.coypu.org/classification/isic_r4/G , https://data.coypu.org/classification/tiva-21#D45T47 , 3 , -2 , 0.9274725274725275,
https://data.coypu.org/classification/isic_r4/84 , https://data.coypu.org/classification/tiva-21#D84 , 3 , -2 , 1.0,
https://data.coypu.org/classification/isic_r4/7490 , https://data.coypu.org/classification/tiva-21#D69T75 , 3 , -2 , 0.9929411764705882,
https://data.coypu.org/classification/isic_r4/61 , https://data.coypu.org/classification/tiva-21#D61 , 3 , -2 , 1.0,
https://data.coypu.org/classification/isic_r4/22 , https://data.coypu.org/classification/tiva-21#D22 , 3 , -2 , 0.88,
https://data.coypu.org/classification/isic_r4/27 , https://data.coypu.org/classification/tiva-21#D27 , 3 , -2 , 0.8653061224489795,
https://data.coypu.org/classification/isic_r4/6810 , https://data.coypu.org/classification/tiva-21#D68 , 3 , -2 , 0.8210526315789474,
https://data.coypu.org/classification/isic_r4/2599 , https://data.coypu.org/classification/tiva-21#D25 , 3 , -2 , 0.7931034482758621,
https://data.coypu.org/classification/isic_r4/52 , https://data.coypu.org/classification/tiva-21#D52 , 3 , -2 , 1.0,
https://data.coypu.org/classification/isic_r4/6820 , https://data.coypu.org/classification/tiva-21#D68 , 3 , -2 , 0.8210526315789474,
https://data.coypu.org/classification/isic_r4/I , https://data.coypu.org/classification/tiva-21#D55T56 , 3 , -2 , 1.0,
https://data.coypu.org/classification/isic_r4/292 , https://data.coypu.org/classification/tiva-21#D29 , 3 , -2 , 0.7505469372246133,
-------------------------------------------------------------------------------------
Number of mappings computed by LogMap: 76,
Number of coflictive mappings: 0
